names,scores,logfoldchanges,pvals,pvals_adj,log2fc
UFC1,87.979706,1.359385,0.0,0.0,1.359385
GTF2I,87.79385,1.6246804,0.0,0.0,1.6246804
TSEN34,87.71466,1.8190813,0.0,0.0,1.8190813
PSMB5,87.69126,1.5449421,0.0,0.0,1.5449421
ACP1,87.68359,1.5042009,0.0,0.0,1.5042009
VDAC1,87.65845,1.4253501,0.0,0.0,1.4253501
EI24,87.62719,1.8649853,0.0,0.0,1.8649853
PHB,87.55679,1.5670874,0.0,0.0,1.5670874
CDH1,87.55027,5.425377,0.0,0.0,5.425377
SOX9,87.47594,4.637135,0.0,0.0,4.637135
ATP6V1G1,87.44805,1.2047229,0.0,0.0,1.2047229
MRPL24,87.36553,1.912519,0.0,0.0,1.912519
SEC61G,87.32795,1.3550559,0.0,0.0,1.3550559
FAM173A,87.24808,1.754433,0.0,0.0,1.754433
PFN2,87.1772,2.5162673,0.0,0.0,2.5162673
ERGIC3,87.167274,1.4142029,0.0,0.0,1.4142029
ASPH,87.164444,1.8465569,0.0,0.0,1.8465569
MRPL51,87.13873,1.4478797,0.0,0.0,1.4478797
CRB3,87.102776,5.7898307,0.0,0.0,5.7898307
BCAM,86.96351,1.7121501,0.0,0.0,1.7121501
C1orf43,86.94263,1.3786645,0.0,0.0,1.3786645
PNKD,86.89331,1.5819719,0.0,0.0,1.5819719
RHOD,86.86829,3.7397175,0.0,0.0,3.7397175
TOB1,86.858986,1.5753872,0.0,0.0,1.5753872
RAB4A,86.81291,1.7284466,0.0,0.0,1.7284466
DUSP23,86.767654,1.4535456,0.0,0.0,1.4535456
FAM213A,86.75089,2.1057684,0.0,0.0,2.1057684
RAB2A,86.744644,1.38919,0.0,0.0,1.38919
MRPL36,86.616066,1.7810011,0.0,0.0,1.7810011
PMVK,86.59717,1.7313746,0.0,0.0,1.7313746
TMEM99,86.55136,3.044303,0.0,0.0,3.044303
SHFM1,86.53904,1.2987812,0.0,0.0,1.2987812
KDM5B,86.52549,2.1526697,0.0,0.0,2.1526697
PIP,86.44984,5.9949155,0.0,0.0,5.9949155
HSBP1,86.32457,1.3776658,0.0,0.0,1.3776658
MRPS12,86.15429,1.7294911,0.0,0.0,1.7294911
C17orf89,85.913826,1.7405133,0.0,0.0,1.7405133
POP7,85.85473,2.0925448,0.0,0.0,2.0925448
CBX3,85.67786,1.4410266,0.0,0.0,1.4410266
NDUFA5,85.60793,1.4683714,0.0,0.0,1.4683714
UQCC2,85.506165,1.7135897,0.0,0.0,1.7135897
MYEOV2,85.45184,1.5144119,0.0,0.0,1.5144119
NDUFS6,85.3553,1.3957578,0.0,0.0,1.3957578
POLD2,85.15166,2.0191333,0.0,0.0,2.0191333
TMEM14A,84.996895,1.6339161,0.0,0.0,1.6339161
COA3,84.920685,1.6709524,0.0,0.0,1.6709524
VAMP8,84.882774,1.367839,0.0,0.0,1.367839
CAMTA1,84.87743,1.458985,0.0,0.0,1.458985
ERBB2,84.86289,4.4710765,0.0,0.0,4.4710765
CA12,84.78169,4.86267,0.0,0.0,4.86267
KTN1,84.73959,1.3494692,0.0,0.0,1.3494692
MRPS16,84.6363,1.6001126,0.0,0.0,1.6001126
KDELR1,84.534996,1.3562244,0.0,0.0,1.3562244
FLYWCH2,84.38409,1.7808852,0.0,0.0,1.7808852
GPR160,84.33754,4.377125,0.0,0.0,4.377125
TMEM205,84.21404,1.7669675,0.0,0.0,1.7669675
TSTA3,83.873665,1.9072194,0.0,0.0,1.9072194
SLIRP,83.84783,1.5371486,0.0,0.0,1.5371486
CERS4,83.742455,2.8674748,0.0,0.0,2.8674748
GADD45GIP1,83.5277,1.3801522,0.0,0.0,1.3801522
LYPLA1,83.46726,1.6913983,0.0,0.0,1.6913983
CCDC64B,83.4559,6.454338,0.0,0.0,6.454338
DNAJC19,83.44693,1.484895,0.0,0.0,1.484895
CANX,83.39605,1.3403424,0.0,0.0,1.3403424
MORN2,83.32859,2.852351,0.0,0.0,2.852351
NUCB2,83.322044,1.5911387,0.0,0.0,1.5911387
MORF4L2,83.272766,1.3722755,0.0,0.0,1.3722755
WDR34,83.20457,2.8936124,0.0,0.0,2.8936124
GID8,83.143265,1.6777486,0.0,0.0,1.6777486
POLR2K,83.09573,1.3381107,0.0,0.0,1.3381107
SCCPDH,83.049934,2.4744315,0.0,0.0,2.4744315
POLR2H,82.922966,1.7609953,0.0,0.0,1.7609953
HMGA1,82.850975,1.6466638,0.0,0.0,1.6466638
ECHS1,82.78352,1.574309,0.0,0.0,1.574309
FOXA1,82.74198,7.1104083,0.0,0.0,7.1104083
MRPS33,82.67706,1.6947662,0.0,0.0,1.6947662
NDUFB11,82.65857,1.2109586,0.0,0.0,1.2109586
COX5A,82.62894,1.275368,0.0,0.0,1.275368
FAM162A,82.56183,1.4875138,0.0,0.0,1.4875138
C14orf1,82.53604,2.0038762,0.0,0.0,2.0038762
CD59,82.49936,1.3043865,0.0,0.0,1.3043865
MTCH2,82.4701,1.7360001,0.0,0.0,1.7360001
SLC25A39,82.400604,1.4810462,0.0,0.0,1.4810462
MAGED2,82.360405,1.9010774,0.0,0.0,1.9010774
PDAP1,82.029625,1.4018039,0.0,0.0,1.4018039
COX20,82.02185,1.581605,0.0,0.0,1.581605
TMED2,81.94816,1.2860157,0.0,0.0,1.2860157
GTF2H5,81.86509,1.5420858,0.0,0.0,1.5420858
CHPT1,81.68056,2.9980855,0.0,0.0,2.9980855
ATOX1,81.57745,1.3201782,0.0,0.0,1.3201782
PAIP1,81.45671,1.7621169,0.0,0.0,1.7621169
NMRAL1,81.45664,2.0181444,0.0,0.0,2.0181444
AK2,81.41754,1.5647608,0.0,0.0,1.5647608
HIST1H2AC,81.412865,2.151731,0.0,0.0,2.151731
IFT22,81.34399,2.6372147,0.0,0.0,2.6372147
FDPS,81.30813,1.696488,0.0,0.0,1.696488
MRPS15,81.26933,1.5461531,0.0,0.0,1.5461531
YWHAE,81.1708,1.2316355,0.0,0.0,1.2316355
AP2S1,81.14538,1.3008373,0.0,0.0,1.3008373
LINC00657,81.14225,1.4685882,0.0,0.0,1.4685882
SLC50A1,81.03172,2.0196664,0.0,0.0,2.0196664
ATP6V0B,80.922554,1.2523303,0.0,0.0,1.2523303
C1orf21,80.834755,2.386625,0.0,0.0,2.386625
MRPL20,80.784096,1.2967589,0.0,0.0,1.2967589
PYCARD,80.699745,1.6024718,0.0,0.0,1.6024718
DYNLT1,80.681915,1.2318978,0.0,0.0,1.2318978
TMEM219,80.6168,1.2440315,0.0,0.0,1.2440315
GLO1,80.61534,1.6918712,0.0,0.0,1.6918712
TMCO1,80.60471,1.325841,0.0,0.0,1.325841
PRELID1,80.59398,1.2599185,0.0,0.0,1.2599185
ADIPOR1,80.552704,1.372184,0.0,0.0,1.372184
ARFIP2,80.51555,2.2692554,0.0,0.0,2.2692554
MRPL41,80.3155,1.2823236,0.0,0.0,1.2823236
LYPD3,80.28863,3.3586094,0.0,0.0,3.3586094
TECR,80.27799,1.3216273,0.0,0.0,1.3216273
UAP1,80.26934,1.6750641,0.0,0.0,1.6750641
NET1,80.22222,2.1563132,0.0,0.0,2.1563132
HSBP1L1,80.2213,2.6595764,0.0,0.0,2.6595764
DDAH2,80.14479,1.4026684,0.0,0.0,1.4026684
GSTM3,80.12457,2.4761655,0.0,0.0,2.4761655
TFG,80.09265,1.5069661,0.0,0.0,1.5069661
TTC3,80.02043,1.3236146,0.0,0.0,1.3236146
PPP1R35,79.97633,2.873443,0.0,0.0,2.873443
NDUFAF6,79.58892,2.6916802,0.0,0.0,2.6916802
TMC5,79.54187,7.3090935,0.0,0.0,7.3090935
ROMO1,79.512276,1.30545,0.0,0.0,1.30545
OAT,79.4925,1.4529635,0.0,0.0,1.4529635
PKIB,79.390045,3.658619,0.0,0.0,3.658619
FAM210B,79.34745,1.9823291,0.0,0.0,1.9823291
TMED10,79.15513,1.2606844,0.0,0.0,1.2606844
SF3B6,79.05635,1.194678,0.0,0.0,1.194678
MAP7,79.03078,4.178563,0.0,0.0,4.178563
C11orf31,78.98228,1.1758565,0.0,0.0,1.1758565
CSNK1A1,78.916275,1.2425661,0.0,0.0,1.2425661
WASL,78.89309,1.9328524,0.0,0.0,1.9328524
HES1,78.824715,1.8428085,0.0,0.0,1.8428085
NIT2,78.78362,1.9090043,0.0,0.0,1.9090043
EIF2AK1,78.657684,1.8108667,0.0,0.0,1.8108667
DDT,78.64739,1.4942807,0.0,0.0,1.4942807
TMEM159,78.569305,2.148227,0.0,0.0,2.148227
NFIC,78.5206,1.4209393,0.0,0.0,1.4209393
C7orf73,78.38312,1.3053732,0.0,0.0,1.3053732
ALKBH7,78.35353,1.275469,0.0,0.0,1.275469
STAP2,78.308105,3.880256,0.0,0.0,3.880256
PDXDC1,78.25332,1.8672705,0.0,0.0,1.8672705
TMEM14C,78.1172,1.2183802,0.0,0.0,1.2183802
MRPL57,78.10747,1.2698328,0.0,0.0,1.2698328
CISD3,78.00478,1.6046249,0.0,0.0,1.6046249
ASAH1,77.91929,1.3302009,0.0,0.0,1.3302009
LINC00493,77.910995,1.2157763,0.0,0.0,1.2157763
ARL1,77.85913,1.5963538,0.0,0.0,1.5963538
POLR2J,77.79949,1.5831012,0.0,0.0,1.5831012
COX6B1,77.671585,1.1076618,0.0,0.0,1.1076618
RTN4,77.5438,1.2295506,0.0,0.0,1.2295506
CTTN,77.52699,2.092507,0.0,0.0,2.092507
TIMM17B,77.38111,1.5463704,0.0,0.0,1.5463704
ESRP1,77.25849,6.4715195,0.0,0.0,6.4715195
ATP5H,77.14573,1.2049415,0.0,0.0,1.2049415
CHCHD1,77.14217,1.5784009,0.0,0.0,1.5784009
SNRNP25,77.00159,1.9856863,0.0,0.0,1.9856863
WBSCR22,76.99905,1.4045622,0.0,0.0,1.4045622
OLA1,76.71559,1.3853397,0.0,0.0,1.3853397
ZNHIT1,76.69483,1.2098498,0.0,0.0,1.2098498
GSPT1,76.66039,1.4634451,0.0,0.0,1.4634451
CTD-2015H6.3,76.647194,4.871117,0.0,0.0,4.871117
TOM1L1,76.644905,4.8814583,0.0,0.0,4.8814583
COA4,76.61201,1.492799,0.0,0.0,1.492799
SCD,76.57468,3.7490642,0.0,0.0,3.7490642
PTRHD1,76.36231,1.4705741,0.0,0.0,1.4705741
RSL1D1,76.34851,1.1950116,0.0,0.0,1.1950116
APH1A,76.295525,1.2213262,0.0,0.0,1.2213262
TRAPPC6A,76.27606,1.6075923,0.0,0.0,1.6075923
CPNE3,76.241684,1.4457381,0.0,0.0,1.4457381
HEBP1,76.21285,1.708421,0.0,0.0,1.708421
HIST1H1C,76.19436,2.1081398,0.0,0.0,2.1081398
TCEAL3,76.18629,2.0399392,0.0,0.0,2.0399392
GRB7,76.06382,5.5285325,0.0,0.0,5.5285325
AKAP9,76.04851,1.2541916,0.0,0.0,1.2541916
EBNA1BP2,76.0374,1.7998539,0.0,0.0,1.7998539
TP53TG1,76.00931,1.999527,0.0,0.0,1.999527
FNBP1L,75.971436,2.628477,0.0,0.0,2.628477
S100A1,75.96937,6.576407,0.0,0.0,6.576407
TSPAN15,75.86644,2.8100135,0.0,0.0,2.8100135
TMEM106C,75.793045,1.7679955,0.0,0.0,1.7679955
OXLD1,75.77291,1.9737124,0.0,0.0,1.9737124
PARP1,75.76682,1.3213066,0.0,0.0,1.3213066
ISOC2,75.744316,1.6753663,0.0,0.0,1.6753663
TMEM87A,75.74151,1.4905229,0.0,0.0,1.4905229
MUCL1,75.711815,4.290514,0.0,0.0,4.290514
TMC4,75.58005,4.613891,0.0,0.0,4.613891
SCAND1,75.57586,1.1661385,0.0,0.0,1.1661385
FAM127B,75.52719,1.7049222,0.0,0.0,1.7049222
